SINGLE-PASS HUB FACE FILES — MANUAL REVIEW NEEDED
======================================================================
Total: 84 files

These programs take only ONE hub face pass (to Z-0.25")
then immediately switch to OD turning.
DB shows hub_height >= 0.50" — they may be missing passes.

Program      Type           Hub Ht     Round    Thick      File
------------------------------------------------------------------------------------------
o05000       hub_centric    0.500"     5.75     1.7500     C:/Users/John Wayne/Documents/File organizer/repository\o05000.nc
o55001       hub_centric    0.500"     5.75     1.7500     C:/Users/John Wayne/Documents/File organizer/repository\o55001.nc
o58101       hub_centric    0.500"     5.75     2.0000     C:/Users/John Wayne/Documents/File organizer/repository\o58101.nc
o58103       hub_centric    0.500"     5.75     0.4724     C:/Users/John Wayne/Documents/File organizer/repository\o58103.nc
o58104       hub_centric    0.500"     5.75     2.2500     C:/Users/John Wayne/Documents/File organizer/repository\o58104.nc
o58114       hub_centric    0.730"     5.75     0.7671     C:/Users/John Wayne/Documents/File organizer/repository\o58114.nc
o58121       hub_centric    0.500"     5.75     1.2500     C:/Users/John Wayne/Documents/File organizer/repository\o58121.nc
o58123       hub_centric    0.500"     5.75     1.2500     C:/Users/John Wayne/Documents/File organizer/repository\o58123.nc
o58124       hub_centric    0.500"     5.75     2.0000     C:/Users/John Wayne/Documents/File organizer/repository\o58124.nc
o58126       hub_centric    0.500"     5.75     1.0000     C:/Users/John Wayne/Documents/File organizer/repository\o58126.nc
o58129       hub_centric    0.500"     5.75     1.5000     C:/Users/John Wayne/Documents/File organizer/repository\o58129.nc
o58135       hub_centric    0.600"     5.75     1.2500     C:/Users/John Wayne/Documents/File organizer/repository\o58135.nc
o58137       hub_centric    0.500"     5.75     1.5000     C:/Users/John Wayne/Documents/File organizer/repository\o58137.nc
o58143       hub_centric    0.500"     5.75     1.0000     C:/Users/John Wayne/Documents/File organizer/repository\o58143.nc
o58146       hub_centric    0.500"     5.75     1.0000     C:/Users/John Wayne/Documents/File organizer/repository\o58146.nc
o58149       step           0.500"     5.75     0.3937     C:/Users/John Wayne/Documents/File organizer/repository\o58149.nc
o58150       hub_centric    0.560"     5.75     0.5906     C:/Users/John Wayne/Documents/File organizer/repository\o58150.nc
o58154       hub_centric    0.500"     5.75     2.2500     C:/Users/John Wayne/Documents/File organizer/repository\o58154.nc
o58158       hub_centric    0.500"     5.75     2.5000     C:/Users/John Wayne/Documents/File organizer/repository\o58158.nc
o58164       hub_centric    0.500"     5.75     2.5000     C:/Users/John Wayne/Documents/File organizer/repository\o58164.nc
o58167       hub_centric    0.500"     5.75     1.5000     C:/Users/John Wayne/Documents/File organizer/repository\o58167.nc
o58168       hub_centric    0.500"     5.75     1.2500     C:/Users/John Wayne/Documents/File organizer/repository\o58168.nc
o58169       hub_centric    0.500"     5.75     1.7500     C:/Users/John Wayne/Documents/File organizer/repository\o58169.nc
o58171       hub_centric    0.500"     5.75     0.6693     C:/Users/John Wayne/Documents/File organizer/repository\o58171.nc
o58172       hub_centric    0.500"     5.75     1.7500     C:/Users/John Wayne/Documents/File organizer/repository\o58172.nc
o58175       hub_centric    0.500"     5.75     0.7500     C:/Users/John Wayne/Documents/File organizer/repository\o58175.nc
o58176       hub_centric    0.500"     5.75     1.7500     C:/Users/John Wayne/Documents/File organizer/repository\o58176.nc
o58178       hub_centric    0.500"     5.75     1.5000     C:/Users/John Wayne/Documents/File organizer/repository\o58178.nc
o58185       hub_centric    0.500"     5.75     3.4000     C:/Users/John Wayne/Documents/File organizer/repository\o58185.nc
o58186       hub_centric    0.500"     5.75     0.2520     C:/Users/John Wayne/Documents/File organizer/repository\o58186.nc
o61001       hub_centric    0.500"     6.0      1.2500     C:/Users/John Wayne/Documents/File organizer/repository\o61001.nc
o61002       hub_centric    0.500"     6.0      1.5000     C:/Users/John Wayne/Documents/File organizer/repository\o61002.nc
o61003       hub_centric    0.500"     6.0      1.7500     C:/Users/John Wayne/Documents/File organizer/repository\o61003.nc
o61004       hub_centric    0.500"     6.0      1.7500     C:/Users/John Wayne/Documents/File organizer/repository\o61004.nc
o61009       hub_centric    0.500"     6.0      1.2500     C:/Users/John Wayne/Documents/File organizer/repository\o61009.nc
